                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1108,                 2.2577,                 1.3444,                 1.4405,                 0.7938,                0.66758,                 0.7484,                0.49527,                0.73857,                0.69102,                0.73725,                0.42943,                 1.2076,                 2.3356,                 1.4423,                 1.6035,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0485,                 2.1288,                 1.2397,                 1.3674,                0.71419,                0.63194,                0.70601,                0.44317,                0.71558,                0.65539,                0.70587,                0.38538,                 1.3037,                 2.5324,                 1.4842,                 1.7139,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0961,                 2.2398,                 1.3157,                 1.4085,                0.68921,                0.58137,                0.65841,                0.44119,                0.67379,                0.56471,                0.63687,                0.37685,                  1.264,                 2.5213,                  1.577,                 1.6492,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0622,                 2.2087,                 1.2665,                 1.4036,                0.83366,                0.63333,                0.76383,                0.52067,                0.83366,                0.63333,                0.74462,                0.43694,                 1.1993,                 2.2405,                 1.3675,                  1.624,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0641,                 2.0782,                 1.2654,                 1.3843,                0.75657,                0.65065,                0.71869,                0.47149,                0.73876,                0.63399,                0.70173,                 0.4256,                 1.2732,                 2.3043,                   1.51,                 1.6413,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0749,                   2.15,                  1.319,                 1.4101,                0.73739,                0.69852,                0.73039,                0.48803,                0.79876,                0.68117,                0.72725,                0.39379,                 1.1615,                   2.29,                 1.4147,                  1.558,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0053,                 2.1151,                 1.1702,                 1.3661,                0.74068,                0.66987,                0.76063,                0.48635,                0.76716,                 0.6549,                0.72545,                0.42117,                 1.1525,                 2.3792,                 1.4001,                 1.5636,             0.00099036,             0.00099036,             0.00099036
                     43,                0.97505,                  2.066,                 1.1213,                 1.3369,                0.75335,                0.67103,                0.75014,                0.50276,                 0.7241,                0.67575,                0.74346,                0.44622,                 1.1796,                 2.1637,                 1.2508,                 1.6032,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0117,                 2.0172,                 1.1462,                 1.3563,                 0.7472,                0.67238,                0.75151,                0.51325,                0.73905,                0.69979,                 0.7419,                0.44227,                 1.3251,                  2.247,                 1.2824,                 1.7075,             0.00095736,             0.00095736,             0.00095736
                     45,                0.99281,                 2.0358,                 1.1395,                 1.3346,                0.72808,                0.72598,                0.74755,                0.50384,                0.73206,                0.68725,                0.72649,                 0.4528,                   1.16,                 2.2784,                 1.3664,                 1.5513,             0.00094085,             0.00094085,             0.00094085
                     46,                0.94322,                 1.9067,                 1.0741,                 1.3005,                0.77469,                0.75135,                0.81083,                0.54783,                0.75265,                0.72941,                0.78796,                0.47818,                  1.153,                 2.1695,                 1.3194,                 1.5395,             0.00092435,             0.00092435,             0.00092435
                     47,                0.96331,                 2.0105,                 1.1063,                 1.3195,                 0.7838,                0.73235,                0.80188,                0.52692,                 0.7656,                0.71569,                0.77525,                0.45754,                 1.1752,                 2.1233,                 1.2381,                 1.5455,             0.00090785,             0.00090785,             0.00090785
                     48,                0.93771,                 1.9016,                 1.0707,                 1.2879,                0.79898,                0.69657,                0.79356,                0.53828,                0.78792,                0.68824,                0.78258,                 0.4638,                 1.1468,                 2.0342,                 1.3005,                 1.5387,             0.00089134,             0.00089134,             0.00089134
                     49,                0.94193,                 1.9052,                 1.0488,                 1.2995,                0.82331,                0.73492,                0.81065,                0.56248,                0.82331,                0.73492,                0.80308,                0.49585,                 1.0814,                 2.0453,                  1.132,                 1.4908,             0.00087484,             0.00087484,             0.00087484
                     50,                0.95765,                 2.0163,                 1.0779,                 1.2956,                0.79078,                 0.7224,                0.78847,                0.54324,                0.79078,                 0.7224,                0.77809,                0.47733,                 1.1364,                 2.0855,                 1.2714,                 1.5752,             0.00085834,             0.00085834,             0.00085834
                     51,                0.92449,                 1.8599,                 1.0234,                 1.2921,                0.78435,                0.74706,                0.80648,                0.55731,                0.78435,                0.74706,                0.80818,                0.48282,                 1.0829,                 2.0967,                 1.1812,                 1.5315,             0.00084184,             0.00084184,             0.00084184
                     52,                   0.94,                 1.8447,                 1.0299,                 1.2911,                0.82742,                0.72564,                0.79387,                0.54552,                0.76798,                0.76056,                0.78269,                 0.4415,                 1.1961,                 2.3074,                 1.3355,                 1.5942,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.8963,                 1.8175,                  1.033,                 1.2824,                0.71497,                0.75675,                0.77638,                0.55194,                0.71248,                0.75792,                0.77545,                0.48263,                 1.0561,                 2.0962,                 1.2059,                 1.5263,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83256,                 1.7505,                0.93374,                 1.2369,                0.75463,                0.75995,                0.80992,                0.54138,                 0.7498,                0.76404,                0.79631,                0.47511,                 1.1571,                 2.2356,                 1.1753,                 1.5991,             0.00079233,             0.00079233,             0.00079233
                     55,                0.90153,                    1.9,                0.97919,                 1.2718,                0.74401,                0.78121,                0.81279,                0.56961,                0.73759,                0.77323,                0.78624,                0.50181,                 1.1511,                  2.169,                 1.2084,                 1.5566,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85136,                 1.7878,                0.95177,                 1.2423,                0.77698,                0.74382,                0.81428,                0.57369,                0.80519,                0.68775,                0.77877,                0.48808,                 1.0728,                 2.1275,                 1.1944,                 1.4897,             0.00075932,             0.00075932,             0.00075932
                     57,                0.89285,                 1.8513,                0.97731,                 1.2622,                0.82438,                0.65657,                0.77313,                 0.5228,                0.82819,                0.63837,                0.74478,                0.45615,                 1.1049,                 2.2049,                 1.2804,                 1.5151,             0.00074282,             0.00074282,             0.00074282
                     58,                0.87248,                 1.8136,                 0.9486,                 1.2494,                0.73234,                0.76814,                0.79758,                 0.5559,                0.87801,                0.65808,                0.78844,                0.50539,                 1.0291,                 2.0906,                 1.2177,                 1.4538,             0.00072631,             0.00072631,             0.00072631
                     59,                0.86629,                 1.7648,                0.92872,                 1.2406,                0.79286,                0.68824,                0.79962,                0.57179,                0.69386,                0.77146,                0.77848,                0.49096,                 1.0383,                 2.1763,                 1.2425,                 1.4788,             0.00070981,             0.00070981,             0.00070981
                     60,                0.87787,                  1.798,                0.93853,                 1.2441,                0.74414,                0.73333,                0.77316,                0.52863,                0.73566,                0.72804,                 0.7572,                0.47587,                 1.1337,                 2.0826,                 1.2776,                 1.5478,             0.00069331,             0.00069331,             0.00069331
                     61,                0.83094,                 1.8017,                0.92775,                 1.2501,                0.75483,                0.75441,                0.78856,                0.54168,                0.75483,                0.75441,                0.78526,                0.44577,                 1.1138,                 2.0869,                 1.1714,                 1.5468,              0.0006768,              0.0006768,              0.0006768
                     62,                0.81544,                  1.703,                0.87754,                 1.2161,                0.89008,                0.73896,                0.83191,                0.58243,                0.90171,                0.74729,                  0.841,                0.51008,                   1.12,                 2.0307,                 1.1913,                 1.5502,              0.0006603,              0.0006603,              0.0006603
                     63,                0.77022,                 1.6788,                0.82634,                 1.1632,                0.81989,                0.70183,                0.80123,                0.55869,                  0.793,                0.67862,                0.77473,                0.48732,                 1.0542,                 2.0209,                   1.18,                 1.4723,              0.0006438,              0.0006438,              0.0006438
                     64,                0.80764,                  1.696,                0.85496,                 1.1886,                 0.8682,                 0.6799,                0.81635,                 0.5842,                 0.8682,                 0.6799,                0.81322,                 0.5217,                 1.0166,                 1.9146,                 1.1571,                  1.454,             0.00062729,             0.00062729,             0.00062729
                     65,                0.77709,                 1.6666,                 0.8373,                 1.1835,                0.75612,                0.75659,                0.80371,                0.57574,                  0.775,                0.77541,                0.81691,                0.50182,                  1.015,                 1.9084,                 1.0764,                 1.4539,             0.00061079,             0.00061079,             0.00061079
                     66,                0.79188,                 1.6973,                0.87377,                 1.1914,                0.86088,                 0.6635,                0.83024,                0.62134,                0.84526,                0.66484,                0.81607,                0.55395,                0.97804,                 1.8754,                 1.1699,                 1.3911,             0.00059429,             0.00059429,             0.00059429
                     67,                0.79026,                  1.681,                0.85534,                  1.183,                0.85574,                0.73039,                0.82097,                0.57275,                0.82892,                0.71373,                0.79867,                0.52443,                 1.0999,                  2.045,                 1.2365,                  1.491,             0.00057778,             0.00057778,             0.00057778
                     68,                0.79543,                 1.6841,                0.85663,                 1.1945,                0.85851,                0.74362,                0.83355,                0.62498,                0.84858,                0.73621,                0.82662,                0.54607,                0.96052,                 1.8619,                 1.0468,                 1.3705,             0.00056128,             0.00056128,             0.00056128
                     69,                0.78153,                 1.6486,                0.84206,                 1.1989,                0.83626,                0.74519,                0.80018,                0.59076,                0.83626,                0.74519,                0.79014,                0.51437,                 1.0416,                 1.9777,                 1.1537,                 1.4898,             0.00054478,             0.00054478,             0.00054478
                     70,                0.73613,                 1.6337,                0.79201,                 1.1436,                0.83187,                0.78578,                0.82945,                0.61421,                0.83187,                0.78578,                 0.8277,                0.53822,                0.99951,                 1.9869,                 1.1798,                 1.4321,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.7639,                 1.5802,                0.77939,                 1.1744,                0.90643,                0.73199,                0.83616,                 0.5969,                0.90111,                0.73282,                0.82981,                0.53464,                 1.0178,                 1.9275,                 1.1299,                 1.4536,             0.00051177,             0.00051177,             0.00051177
                     72,                 0.7059,                 1.5318,                0.73262,                 1.1369,                0.86528,                0.76233,                0.83424,                0.61543,                0.85762,                0.75299,                0.82042,                  0.546,                0.98899,                 1.9365,                 1.0106,                 1.4768,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.7285,                 1.5751,                0.76874,                 1.1632,                0.86294,                0.76569,                0.83694,                0.62534,                0.84978,                0.74069,                0.79768,                0.56034,                0.98946,                 1.8965,                 1.0066,                 1.4392,             0.00047876,             0.00047876,             0.00047876
                     74,                0.69481,                 1.5178,                0.70948,                  1.126,                0.87195,                0.76275,                0.85964,                0.66515,                0.84258,                0.77209,                0.84609,                0.58939,                0.94275,                 1.8095,                0.91374,                 1.3896,             0.00046226,             0.00046226,             0.00046226
                     75,                0.71146,                 1.5448,                 0.7244,                 1.1278,                 0.8201,                 0.7951,                 0.8464,                0.64393,                 0.8201,                 0.7951,                0.84016,                0.57427,                0.93693,                 1.8575,                0.97181,                 1.3653,             0.00044576,             0.00044576,             0.00044576
                     76,                0.72506,                 1.5479,                0.74538,                 1.1408,                0.88171,                0.76635,                0.86417,                0.64288,                0.87234,                0.75821,                0.84963,                0.57867,                 1.0061,                 1.8877,                 1.0457,                 1.4283,             0.00042925,             0.00042925,             0.00042925
                     77,                0.71646,                 1.5933,                0.75296,                 1.1487,                0.87981,                0.78137,                0.84849,                0.64604,                 0.9063,                   0.75,                0.83632,                0.56732,                0.91843,                 1.8505,                0.95031,                 1.3579,             0.00041275,             0.00041275,             0.00041275
                     78,                0.69222,                 1.5631,                0.73692,                 1.1253,                0.77092,                0.79412,                 0.8538,                0.63187,                0.76964,                0.75095,                0.81999,                0.56532,                0.99421,                 1.8838,                 1.0118,                 1.4239,             0.00039625,             0.00039625,             0.00039625
                     79,                0.66634,                 1.4522,                 0.6507,                 1.0961,                0.84616,                0.74167,                0.85339,                0.63304,                0.84724,                0.72598,                0.83285,                0.56278,                 1.0289,                 1.9172,                0.99899,                 1.4923,             0.00037974,             0.00037974,             0.00037974
                     80,                0.66702,                 1.4827,                0.67303,                 1.1102,                 0.8802,                0.75098,                0.83188,                0.64974,                0.86527,                0.75833,                0.82759,                0.57734,                0.96327,                 1.8222,                 1.0206,                 1.4389,             0.00036324,             0.00036324,             0.00036324
                     81,                0.64097,                 1.4253,                0.66015,                 1.0963,                0.90069,                0.75098,                0.83448,                0.63939,                0.90069,                0.75098,                0.83846,                0.57661,                0.96631,                 1.8612,                 1.0618,                 1.4504,             0.00034674,             0.00034674,             0.00034674
                     82,                0.66309,                 1.4107,                0.65797,                 1.1108,                0.88703,                0.74915,                0.84692,                0.61412,                0.82094,                0.77304,                 0.8228,                0.55241,                  1.033,                 1.8648,                 1.0129,                 1.4905,             0.00033023,             0.00033023,             0.00033023
                     83,                0.69962,                 1.5093,                0.70305,                 1.1229,                0.86583,                0.79325,                0.86356,                0.66113,                0.85758,                0.78492,                0.85207,                0.58135,                0.96589,                 1.8155,                0.97443,                 1.4069,             0.00031373,             0.00031373,             0.00031373
                     84,                0.66091,                 1.4489,                0.66743,                 1.1036,                0.85558,                0.81317,                0.87281,                0.66203,                 0.8466,                0.80483,                0.86311,                0.58367,                0.90095,                 1.8467,                0.97987,                 1.3552,             0.00029723,             0.00029723,             0.00029723
                     85,                0.67351,                 1.4652,                0.71103,                 1.1143,                0.88264,                0.76362,                0.86567,                0.65381,                0.88264,                0.76362,                0.85725,                0.58867,                0.91604,                 1.8684,                0.94398,                 1.4155,             0.00028072,             0.00028072,             0.00028072
                     86,                0.64152,                 1.4325,                0.66912,                 1.1076,                0.85469,                0.76861,                0.86775,                0.66325,                0.85469,                0.76861,                0.85944,                0.57829,                0.90439,                 1.8518,                0.90337,                 1.4064,             0.00026422,             0.00026422,             0.00026422
                     87,                0.62778,                 1.3782,                0.66223,                 1.0802,                0.87218,                0.80091,                0.87941,                0.65581,                0.87218,                0.80091,                0.87025,                0.58572,                0.92128,                 1.7971,                0.87744,                 1.3971,             0.00024772,             0.00024772,             0.00024772
                     88,                0.61944,                 1.4046,                0.62639,                 1.0773,                0.90709,                0.77868,                0.86838,                0.64382,                0.90709,                0.77868,                0.86203,                0.58338,                0.95816,                  1.806,                0.99167,                 1.3903,             0.00023121,             0.00023121,             0.00023121
                     89,                0.59693,                 1.3619,                0.61956,                 1.0603,                0.89519,                0.74476,                0.84787,                0.65514,                0.88545,                0.73714,                0.82541,                  0.579,                0.91348,                 1.8732,                 1.0532,                 1.3312,             0.00021471,             0.00021471,             0.00021471
                     90,                0.60801,                 1.4076,                 0.6025,                 1.0876,                 0.9109,                0.70869,                0.84579,                0.66868,                 0.9109,                0.70869,                0.83938,                0.58584,                 0.9131,                  1.842,                 1.0401,                 1.3522,             0.00019821,             0.00019821,             0.00019821
                     91,                0.55343,                 1.2881,                 0.5688,                   1.06,                0.89968,                0.72206,                0.82995,                0.63198,                0.91124,                0.73039,                0.82914,                0.56124,                 1.0442,                 1.8356,                  1.082,                  1.471,              0.0001817,              0.0001817,              0.0001817
                     92,                0.54151,                 1.2692,                 0.5124,                 1.0512,                0.87672,                0.70637,                0.81783,                0.64351,                0.88924,                0.71471,                0.81691,                0.56192,                0.99279,                 1.8465,                 1.1236,                 1.4721,              0.0001652,              0.0001652,              0.0001652
                     93,                0.52209,                 1.2443,                0.47738,                 1.0277,                0.89162,                0.73372,                0.86055,                0.66204,                0.89162,                0.73372,                0.84931,                0.57856,                0.95549,                 1.7936,                0.94696,                 1.4141,              0.0001487,              0.0001487,              0.0001487
                     94,                0.52368,                 1.2178,                0.46817,                 1.0271,                0.88516,                0.76275,                0.86996,                0.67707,                0.94414,                0.71667,                0.85698,                0.59326,                0.90884,                 1.7766,                0.95476,                 1.4021,             0.00013219,             0.00013219,             0.00013219
                     95,                0.50635,                 1.1813,                0.45007,                 1.0395,                0.96008,                0.70833,                0.86789,                0.66845,                0.96535,                0.70833,                0.85743,                0.59789,                0.94419,                 1.7514,                 1.0399,                 1.4041,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.4823,                 1.1761,                0.43843,                 1.0056,                0.85447,                0.77206,                0.84951,                0.66832,                0.85036,                0.76373,                0.84777,                0.59697,                0.92512,                 1.7448,                 1.0379,                  1.393,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.4654,                 1.1407,                0.40302,                 1.0036,                0.92466,                  0.725,                0.84787,                0.66661,                0.93275,                  0.725,                 0.8494,                 0.6008,                0.92238,                 1.7746,                 1.0115,                 1.3947,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.45849,                 1.0987,                0.40322,                0.97567,                 0.9617,                0.73939,                0.85846,                0.67463,                 0.9503,                0.73121,                  0.846,                0.60829,                0.92003,                 1.7799,                 1.0494,                 1.3984,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.4503,                 1.1658,                0.40116,                0.98164,                0.95736,                0.73519,                0.85053,                0.68489,                0.95736,                0.73519,                0.84748,                0.61014,                0.91854,                 1.7755,                 1.0723,                 1.3978,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.47519,                 1.1271,                0.41214,                 0.9813,                0.94782,                  0.725,                0.85192,                0.69009,                0.94782,                  0.725,                0.84909,                0.61447,                0.89703,                   1.76,                  1.053,                 1.3813,             3.3173e-05,             3.3173e-05,             3.3173e-05
